condition,drugName,total_pred
ADHD,Adderall,0.069597267
ADHD,Adderall XR,0.042299186
ADHD,Adzenys XR-ODT,0.010452036
ADHD,Amantadine,0.010959778
ADHD,Amphetamine,0.013809243
ADHD,Amphetamine / dextroamphetamine,0.04644712
ADHD,Aptensio XR,0.005815911
ADHD,Armodafinil,0.026647894
ADHD,Atomoxetine,0.047550614
ADHD,Bupropion,0.084158191
ADHD,Catapres,0.044129768
ADHD,Clonidine,0.05863656
ADHD,Concerta,0.058863919
ADHD,Cylert,0.014539777
ADHD,Daytrana,0.031458805
ADHD,Desoxyn,0.127890285
ADHD,Desvenlafaxine,0.006086582
ADHD,Dexedrine,0.064059065
ADHD,Dexmethylphenidate,0.041527886
ADHD,Dextroamphetamine,0.052168705
ADHD,Dextrostat,0.045073308
ADHD,Dyanavel XR,0.01627483
ADHD,Evekeo,0.008659453
ADHD,Focalin,0.045609351
ADHD,Focalin XR,0.044634434
ADHD,Guanfacine,0.069811566
ADHD,Intuniv,0.077365856
ADHD,Kapvay,0.126576657
ADHD,Lisdexamfetamine,0.044942468
ADHD,Metadate CD,0.036949977
ADHD,Methamphetamine,0.102736066
ADHD,Methylin,0.033831459
ADHD,Methylin ER,0.028036399
ADHD,Methylphenidate,0.040795289
ADHD,Modafinil,0.123212188
ADHD,Mydayis,0.016823536
ADHD,Nuvigil,0.047981263
ADHD,Omega-3 polyunsaturated fatty acids,0.040711375
ADHD,Pemoline,0.008723866
ADHD,ProCentra,0.002162056
ADHD,Quillivant XR,0.014205342
ADHD,Ritalin,0.060939985
ADHD,Ritalin LA,0.032050071
ADHD,Ritalin-SR,0.001821782
ADHD,Strattera,0.052596819
ADHD,Vyvanse,0.044729536
ADHD,Wellbutrin,0.311857741
ADHD,Wellbutrin SR,0.025803844
ADHD,Wellbutrin XL,0.10056537
ADHD,Zenzedi,0.006613135
AIDS Related Wasting,Somatropin,2.654075146
Abdominal Distension,Bethanechol,19.47166908
Abnormal Uterine Bleeding,Alesse,0.013582563
